#rw	start	end	rv	start	end
rw4	89082703	89083118	rv4	89082467	89083200
rw2	158675304	158675589	rv2	158675303	158675600
rw4	175942341	175942729	rv4	175942420	175942700
rw8	108726095	108726305	rv8	108726026	108726577
rw2	190583525	190583759	rv2	190583429	190583848
rw9	69710616	69711414	rv9	69709944	69711416
rw15	58418349	58419194	rv15	58418614	58419091
rwX	100726880	100727387	rvX	100726877	100727492
rw17	66406244	66406741	rv17	66406027	66406622
rw2	175947760	175947996	rv2	175947654	175948084
rw7	69662370	69663195	rv7	69662502	69663162
rw1	146898202	146898503	rv1	146898183	146898524
rw3	4962636	4963477	rv3	4961647	4963495
rwX	135527150	135527806	rvX	135526580	135527340
rw1	228744087	228782484	rv1	228744073	228756448
rw11	116442904	116443466	rv11	116442583	116443087
rw11	36636563	36637152	rv11	36636527	36637122
rw14	58018969	58019447	rv14	58018912	58019490
rw16	9683103	9684355	rv16	9683306	9684307
rw17	50735458	50735804	rv17	50735456	50735766
rw4	112817416	112818270	rv4	112817201	112818186
rw6	165717133	165718153	rv6	165716914	165718118
rw7	109547619	109548418	rv7	109547591	109548485
rw8	96568796	96570474	rv8	96568789	96569360
rw8	94418333	94419912	rv8	94418823	94419703
rw9	135402755	135403404	rv9	135402513	135403836
rw16	49258270	49258588	rv16	49258343	49258584
rw9	143733	144202	rv9	143736	144185
rw7	31625591	31626171	rv7	31625663	31626023
rw7	92976529	92976840	rv7	92976501	92976861
rw1	93742691	93743054	rv1	93742429	93743072
rw4	91601595	91602904	rv4	91600682	91602667
rw6	74865484	74866390	rv6	74865610	74866332
rw11	35075469	35075847	rv11	35075648	35075834
rw11	44685793	44686049	rv11	44685400	44686070
rw2	37452506	37453122	rv2	37452747	37453030
rw4	68265184	68266807	rv4	68264218	68266777
rw2	53625846	53626432	rv2	53625750	53626769
rw1	146797160	146797400	rv1	146797001	146797612
rw20	40599705	40600300	rv20	40599822	40600287
rwX	110060446	110060703	rvX	110060324	110060892
rw15	32429024	32429261	rv15	32429075	32429260
rw8	42585913	42586194	rv8	42585917	42586192
rw14	65445658	65445958	rv14	65445351	65445954
rw18	12204395	12204737	rv18	12204155	12204701
rw21	37869048	37869648	rv21	37869077	37869640
rwX	21282444	21282731	rvX	21282418	21282679
rw5	177821859	177823341	rv5	177822271	177822948
rw21	47510801	47511251	rv21	47510828	47511058
rw5	85806531	85807365	rv5	85806604	85806815
rw1	152404250	152404659	rv1	152404140	152404820
rw3	97625150	97625545	rv3	97625104	97625599
rw11	107236711	107237201	rv11	107235928	107236830
rw2	137067240	137067514	rv2	137067246	137067510
rw11	7679887	7680204	rv11	7679876	7680220
rw8	143962449	143962775	rv8	143962404	143962690
rw10	96584932	96585594	rv10	96584756	96585174
rw14	24581893	24582405	rv14	24581864	24582265
rw11	664431	665106	rv11	664464	665104
rw20	29829288	29829803	rv20	29829123	29829831
rw9	126166787	126168349	rv9	126166902	126167803
rw1	69201074	69202160	rv1	69200826	69202166
rw14	24472326	24473156	rv14	24472018	24472528
rw10	803132	803606	rv10	803036	803581
rw1	46969777	46970079	rv1	46969762	46970116
rw2	196841271	196841524	rv2	196841135	196841528
rw17	11749787	11750367	rv17	11749421	11750134
rw4	190987668	190995323	rv4	190991483	190994183
rw10	135489098	135498993	rv10	135492379	135498972
rw10	22413318	22413756	rv10	22413285	22413640
rw12	93311482	93312116	rv12	93311476	93312130
rw5	38170590	38171176	rv5	38170637	38171068
rw9	34530789	34531110	rv9	34530704	34531054
rw3	89512829	89515909	rv3	89513403	89515199
rw9	98465043	98465684	rv9	98463652	98465719
rw6	152253330	152253867	rv6	152253164	152254106
rw2	72930475	72931065	rv2	72930343	72930995
rw16	74833493	74834075	rv16	74833280	74833727
rw7	23079638	23080189	rv7	23079631	23080443
rw4	187032084	187032399	rv4	187032031	187032430
rw9	141134933	141135928	rv9	141134919	141136000
rw14	45456819	45457220	rv14	45456714	45457179
rwX	35333845	35334085	rvX	35333597	35334271
rw6	24816649	24817929	rv6	24816037	24817747
rw16	85169206	85169443	rv16	85169025	85169331
rw6	99654325	99654549	rv6	99654277	99654492
rw11	26990551	26991097	rv11	26990542	26990882
rw4	54271584	54272026	rv4	54271622	54272017
rw13	49731384	49732188	rv13	49731053	49731560
rw3	75717975	75719972	rv3	75718000	75719238
rw4	162472234	162472586	rv4	162472231	162472560
rw6	112228180	112228688	rv6	112228057	112228800
rw18	74964809	74965085	rv18	74964557	74965105
rw7	30677485	30678241	rv7	30677362	30677873
rw2	20877527	20877942	rv2	20877589	20877920
rw3	158355257	158356238	rv3	158355457	158356210
rw14	52266079	52266374	rv14	52265906	52266296
rw15	30383272	30383663	rv15	30383085	30383611
rw4	100924342	100925139	rv4	100923910	100925090
rw16	235984	237277	rv16	235972	236801
rw5	45662386	45663283	rv5	45661696	45662426
rw7	43455370	43455524	rv7	43455220	43455620
rw7	81414515	81415354	rv7	81414661	81415156
rw6	31212485	31213120	rv6	31212492	31213010
rw1	221169127	221170109	rv1	221169036	221169468
rw1	185766826	185767129	rv1	185766817	185767100
rw5	143235476	143235955	rv5	143235349	143235842
rw8	76194448	76195324	rv8	76194406	76195318
rw19	12886682	12887157	rv19	12886717	12887083
rw6	87377006	87377539	rv6	87376799	87377553
rw13	47796523	47797496	rv13	47796536	47797283
rw2	8275476	8275624	rv2	8275260	8275693
rw12	6649564	6650061	rv12	6649707	6650025
rw12	25692716	25693445	rv12	25692881	25693195
rw3	136687306	136688455	rv3	136686489	136688079
rw10	121482307	121482501	rv10	121482058	121482573
rw9	5240697	5242335	rv9	5240874	5241501
rw3	49796281	49796457	rv3	49796199	49796519
rw2	237287934	237288456	rv2	237288000	237288408
rw13	77537582	77537936	rv13	77537581	77538147
rw12	5227540	5228060	rv12	5227536	5228084
rw8	73792266	73793822	rv8	73791073	73792918
rw12	75268635	75270162	rv12	75269375	75270159
rw14	63587500	63589447	rv14	63587516	63588520
rw5	143930992	143931641	rv5	143930950	143931383
rw3	128674431	128675058	rv3	128674433	128674991
rw2	176827540	176828208	rv2	176827527	176827900
rw13	33442306	33442922	rv13	33442228	33442728
rw3	183326912	183327611	rv3	183326965	183327460
rw12	76123662	76124268	rv12	76123782	76124211
rw11	1691573	1692241	rv11	1691691	1692029
rw19	54860980	54861395	rv19	54860966	54861499
rw16	1011109	1012216	rv16	1010880	1012010
rw4	54435570	54436478	rv4	54435375	54435751
rw6	109567599	109567864	rv6	109567542	109567911
rw5	55838672	55838886	rv5	55838668	55839082
rw9	91240597	91241268	rv9	91240676	91240959
rw22	20149949	20150912	rv22	20149802	20150142
rw16	60911394	60912583	rv16	60911239	60912070
rw5	1539562	1540379	rv5	1539843	1540293
rw1	99855673	99856437	rv1	99855166	99856452
rw6	40325059	40325436	rv6	40325041	40325202
rw2	238590355	238590564	rv2	238590118	238590509
rw7	110199564	110200047	rv7	110199519	110200210
rw3	116079180	116079941	rv3	116079152	116080436
rwX	151887702	151887958	rvX	151887691	151888142
rwX	26337614	26338223	rvX	26337384	26338214
rw4	87175101	87175966	rv4	87174807	87175431
rw16	71637272	71638165	rv16	71636870	71637804
rw17	81164333	81165291	rv17	81164282	81164761
rw8	89701800	89702233	rv8	89701082	89702268
rw9	13042944	13043565	rv9	13042924	13043556
rw8	142723650	142724211	rv8	142723724	142724042
