#rv	start	end	rw	start	end
rv5	57166002	57166247	rw5	57165973	57166879
rv2	9639532	9639767	rw2	9639337	9639938
rv10	1583541	1583952	rw10	1582358	1586987
rv8	132249646	132250045	rw8	132249639	132250115
rv11	964800	965293	rw11	964577	966001
rv4	40950344	40950673	rw4	40950235	40950791
rv15	101246346	101246845	rw15	101245171	101247135
rv12	52490994	52491324	rw12	52490643	52491540
rv9	93992184	93992636	rw9	93992469	93994101
rv21	11185939	11186917	rw21	11186045	11186366
rv9	136961877	136962290	rw9	136962276	136963169
rv11	122861337	122861646	rw11	122860379	122862218
rv11	111384697	111385091	rw11	111384936	111385909
rv7	7163971	7164372	rw7	7164045	7164625
rv8	144154279	144154628	rw8	144152999	144155560
rv7	76655492	76655691	rw7	76655647	76656673
rv1	223620386	223620643	rw1	223620254	223621025
rv11	69359881	69360256	rw11	69358750	69361357
rv5	66505670	66505943	rw5	66505808	66506526
rv17	41919690	41920158	rw17	41919377	41920525
rv9	137615423	137615843	rw9	137614567	137617294
rv2	208319757	208320146	rw2	208320079	208320560
rv8	3880992	3881179	rw8	3881002	3881440
rv8	114525005	114525358	rw8	114524623	114525421
rv7	143237067	143237524	rw7	143237226	143238124
rv9	99837073	99837284	rw9	99836956	99837670
rv10	135292862	135293244	rw10	135289487	135293997
rv2	159723467	159723755	rw2	159723456	159725210
rv22	18881380	18882171	rw22	18881688	18882218
rv10	135515613	135515978	rw10	135515436	135516041
rv6	20445209	20445586	rw6	20445047	20445936
rv7	1844092	1844346	rw7	1843689	1845741
rv1	79315732	79316618	rw1	79316579	79317355
rv2	390752	391111	rw2	390606	391950
rv3	197829259	197829655	rw3	197825646	197830079
rv3	197829694	197830055	rw3	197825646	197830079
rv3	197828359	197828735	rw3	197825646	197830079
rv10	15963134	15963445	rw10	15962613	15963907
rv7	4622419	4622662	rw7	4622362	4623287
rv12	132696729	132697340	rw12	132694482	132700575
rv20	55089077	55089406	rw20	55086618	55090780
rv10	132506185	132506597	rw10	132506521	132507230
rv18	11803680	11803926	rw18	11803526	11805093
rv5	125636980	125637374	rw5	125637344	125637883
rv8	129908951	129909348	rw8	129909039	129909912
rv5	68949443	68949843	rw5	68947890	68950280
rv4	100969053	100969606	rw4	100969502	100970772
rvX	65405742	65406244	rwX	65405913	65406664
rv1	91852737	91853363	rw1	91852673	91853418
rvX	148265135	148265410	rwX	148265190	148265814
rv4	123495866	123496315	rw4	123495092	123496578
rv1	5394238	5394652	rw1	5394040	5394942
rv8	36251372	36251848	rw8	36251443	36252243
rv14	104619801	104620132	rw14	104617515	104622632
rv1	157949086	157949516	rw1	157949376	157949813
rv9	28348501	28348789	rw9	28348059	28348887
rv15	23909937	23910328	rw15	23909884	23910637
rv7	78864034	78864458	rw7	78863863	78865231
rv1	242238718	242239113	rw1	242238776	242239166
rv2	148911336	148911668	rw2	148911365	148912557
rv6	78427552	78427915	rw6	78426976	78427942
rv19	47916531	47916897	rw19	47915518	47918445
rv15	79163794	79164172	rw15	79163420	79165026
rv1	155596964	155597339	rw1	155597306	155597709
rv18	10606065	10606285	rw18	10606261	10606998
rv2	152560560	152561062	rw2	152560752	152561567
rv7	25890191	25890528	rw7	25890420	25891492
rv1	236198446	236198993	rw1	236198753	236199275
rv1	248571903	248572280	rw1	248571238	248572486
rv5	293646	294092	rw5	292578	294315
rv7	572410	572714	rw7	571366	575741
rv7	548196	548474	rw7	548209	550912
rv14	56459701	56459982	rw14	56459707	56460185
rv10	2564634	2564862	rw10	2563264	2565871
rv10	2564074	2564430	rw10	2563264	2565871
rv20	58398167	58398450	rw20	58396894	58398535
