#chr	start	end	value	options
rw1	86634276	86655376	0.8	stroke_color=red
rw7	117363222	117427523	1.3	stroke_color=red
rw14	36473288	36513785	2.2	stroke_color=red
rw7	139073926	139077724	2.4	stroke_color=red
rw7	48924561	48927453	2.6	stroke_color=red
rw8	85438827	85449040	2.8	stroke_color=red
rw2	85815130	85826788	2.9	stroke_color=red
rw1	77847080	77848999	3	stroke_color=red
rw11	85855055	85920021	3	stroke_color=red
rw3	151733916	151758016	3.2	stroke_color=red
rw4	73853296	73854481	3.2	stroke_color=red
rw12	85976235	86838904	3.3	stroke_color=red
rw15	49858238	50181793	3.3	stroke_color=red
rw12	68163987	68225791	3.6	stroke_color=red
rw5	141222326	141226288	3.6	stroke_color=red
rw4	48483343	48489524	3.7	stroke_color=red
rw10	28846408	28881898	3.8	stroke_color=red
rw4	69480165	69526014	3.8	stroke_color=red
rw6	49727376	49744455	3.8	stroke_color=red
rw13	102596936	102679174	3.9	stroke_color=red
rw6	116877213	116932163	3.9	stroke_color=red
rw11	26188821	26668409	4	stroke_color=red
rw6	75921114	76072678	4	stroke_color=red
rw3	42770612	42773635	4.1	stroke_color=red
rw14	18630536	18633634	4.2	stroke_color=red
rw4	82900684	82920283	4.2	stroke_color=red
rw7	151956379	152019934	4.2	stroke_color=red
rw21	13610061	13641585	4.3	stroke_color=red
rw21	27722379	27751233	4.3	stroke_color=red
rw4	146707027	146945882	4.3	stroke_color=red
rw7	130380371	130388108	4.4	stroke_color=red
rw8	16992825	17002165	4.5	stroke_color=red
rw22	29434530	29442455	4.6	stroke_color=red
rw12	71125093	71157999	4.7	stroke_color=red
rw14	61812729	62117043	4.7	stroke_color=red
rw7	48035511	48061297	4.9	stroke_color=red
rw1	85157673	85201704	5	stroke_color=red
rw1	215622894	216423396	5	stroke_color=red
rw4	70028413	70036538	5	stroke_color=red
rw1	66533311	66748999	5.1	stroke_color=red
rw20	45206997	45209773	5.1	stroke_color=red
rw3	148078127	148088029	5.1	stroke_color=red
rw9	6215149	6257983	5.1	stroke_color=red
rw1	186828900	186988981	5.2	stroke_color=red
rw12	31020763	31073847	5.2	stroke_color=red
rw18	68715254	69171081	5.2	stroke_color=red
rw3	196596	409417	5.2	stroke_color=red
rw8	109362477	109532686	5.2	stroke_color=red
rw15	59206816	59208588	5.3	stroke_color=red
rw18	42743218	43115692	5.3	stroke_color=red
rw2	231497090	231506639	5.3	stroke_color=red
rw18	31376777	31415791	5.5	stroke_color=red
rw22	40859549	40862126	5.5	stroke_color=red
rw6	25726909	25727345	5.5	stroke_color=red
rw8	39451045	39522989	5.5	stroke_color=red
rw1	99004276	99148852	5.6	stroke_color=red
rw13	112361613	112376268	5.6	stroke_color=red
rw5	102233986	102296549	5.6	stroke_color=red
rw6	11690060	11723500	5.6	stroke_color=red
rw7	73861159	73865894	5.6	stroke_color=red
rw9	17578954	17797129	5.6	stroke_color=red
rw17	35409650	35433229	5.7	stroke_color=red
rw3	130517177	130678135	5.7	stroke_color=red
rw3	52451091	52454041	5.7	stroke_color=red
rw3	19947080	19985175	5.7	stroke_color=red
rw9	21409147	21410185	5.7	stroke_color=red
rw12	14973022	14981865	5.8	stroke_color=red
rw19	57905774	57916616	5.8	stroke_color=red
rw4	75555510	75565893	5.8	stroke_color=red
rw4	122451470	122456495	5.8	stroke_color=red
rw1	166603916	166625238	5.9	stroke_color=red
rw1	242088387	242530544	5.9	stroke_color=red
rw11	47589664	47594409	5.9	stroke_color=red
rw16	50693581	50733081	5.9	stroke_color=red
rw10	93612588	93665673	6.1	stroke_color=red
rw12	91103455	91111765	6.1	stroke_color=red
rw12	20810704	20916911	6.1	stroke_color=red
rw14	20582892	20590258	6.1	stroke_color=red
rw12	7711454	7717559	6.2	stroke_color=red
rw12	48019771	48025382	6.2	stroke_color=red
rw2	81461359	81466946	6.2	stroke_color=red
rw6	27911185	27912396	6.2	stroke_color=red
rw7	117710648	117873507	6.2	stroke_color=red
rw7	142670777	142671244	6.2	stroke_color=red
rw8	98042086	98042217	6.2	stroke_color=red
rw12	9752486	9760901	6.3	stroke_color=red
rw4	80335326	80963756	6.3	stroke_color=red
rw4	140388453	140427661	6.3	stroke_color=red
rw15	63594830	63602428	6.4	stroke_color=red
rw16	70156340	70173448	6.4	stroke_color=red
rw19	5805359	5828324	6.4	stroke_color=red
rw12	126442481	126472785	6.5	stroke_color=red
rw12	100357079	100422059	6.5	stroke_color=red
rw3	153484495	153502697	6.5	stroke_color=red
rw5	64505539	64614657	6.5	stroke_color=red
rw9	21394887	21402975	6.6	stroke_color=red
rw1	78749072	78750856	6.7	stroke_color=red
rw14	58634068	58648321	6.7	stroke_color=red
rw15	52180026	52205879	6.7	stroke_color=red
rw18	31318089	31359246	6.7	stroke_color=red
rw4	165873238	166105178	6.7	stroke_color=red
rw6	31711976	31714065	6.7	stroke_color=red
rw19	57428568	57447485	6.8	stroke_color=red
rw2	231108230	231125778	6.8	stroke_color=red
rw21	33488055	33491747	6.8	stroke_color=red
rw18	64072170	64072651	6.9	stroke_color=red
rw20	64047726	64049626	6.9	stroke_color=red
rw7	97731959	97740472	6.9	stroke_color=red
rw17	41486136	41494015	7	stroke_color=red
rw8	74984473	75034558	7	stroke_color=red
rw15	66547468	66565979	7.1	stroke_color=red
rw20	20004002	20005068	7.1	stroke_color=red
rw1	247937029	248100922	7.2	stroke_color=red
rw11	118133377	118152915	7.2	stroke_color=red
rw17	81513051	81539790	7.2	stroke_color=red
rw22	45344063	45413629	7.2	stroke_color=red
rw5	141245349	141248234	7.2	stroke_color=red
rw5	80319971	80321842	7.2	stroke_color=red
rw7	92538475	92539765	7.2	stroke_color=red
rw12	6569434	6582659	7.3	stroke_color=red
rw5	132673986	132682678	7.3	stroke_color=red
rw9	96909075	96910455	7.3	stroke_color=red
rw1	75128434	75161533	7.4	stroke_color=red
rw1	186443566	186461108	7.4	stroke_color=red
rw1	228644647	228746669	7.4	stroke_color=red
rw14	100953349	100953422	7.4	stroke_color=red
rw9	37036130	37038869	7.4	stroke_color=red
rw12	30755029	30780739	7.5	stroke_color=red
rw5	55737995	55817147	7.5	stroke_color=red
rw7	69596137	69597495	7.5	stroke_color=red
rw8	107899316	108083685	7.5	stroke_color=red
rw14	20781051	20782467	7.6	stroke_color=red
rw4	112513516	112516172	7.6	stroke_color=red
rw16	22374323	22376273	7.7	stroke_color=red
rw2	176098513	176103770	7.7	stroke_color=red
rw2	241893988	241903279	7.7	stroke_color=red
rw6	73353062	73354276	7.7	stroke_color=red
rw7	141988888	142106747	7.7	stroke_color=red
rw7	96945553	96960417	7.7	stroke_color=red
rw1	161663115	161678654	7.8	stroke_color=red
rw1	84506301	84556495	7.8	stroke_color=red
rw15	77204923	77205415	7.8	stroke_color=red
rw19	22752183	22784171	7.8	stroke_color=red
rw17	18634434	18644433	7.9	stroke_color=red
rw5	98929134	98931009	7.9	stroke_color=red
rw8	56440954	56446723	7.9	stroke_color=red
rw17	50719565	50752711	8	stroke_color=red
rw19	54415426	54436719	8	stroke_color=red
rw1	15456728	15472091	8.1	stroke_color=red
rw12	18080869	18090193	8.1	stroke_color=red
rw17	28367277	28370352	8.1	stroke_color=red
rw19	54923509	54969965	8.1	stroke_color=red
rw2	54253178	54256272	8.1	stroke_color=red
rw8	18578415	18591915	8.1	stroke_color=red
rw14	74852806	74876419	8.2	stroke_color=red
rw6	49676659	49714198	8.2	stroke_color=red
rw1	92080305	92147840	8.3	stroke_color=red
rw10	22252072	22258548	8.3	stroke_color=red
rw2	55142272	55170440	8.3	stroke_color=red
rw4	15960240	15963236	8.3	stroke_color=red
rw5	160347754	160370652	8.3	stroke_color=red
rw1	200213532	200214774	8.4	stroke_color=red
rw6	142074484	142147118	8.4	stroke_color=red
rw7	136868652	137020255	8.4	stroke_color=red
rw11	62208668	62213939	8.5	stroke_color=red
rw16	71447597	71462252	8.5	stroke_color=red
rw19	7669086	7670454	8.5	stroke_color=red
rw2	157318613	157327713	8.5	stroke_color=red
rw4	6744683	6745090	8.5	stroke_color=red
rw10	101770130	101780369	8.6	stroke_color=red
rw15	75941973	76012444	8.6	stroke_color=red
rw3	93873037	93974090	8.6	stroke_color=red
rw14	23381990	23408277	8.7	stroke_color=red
rw15	20956228	20957057	8.7	stroke_color=red
rw19	16479057	16496192	8.7	stroke_color=red
rw19	36743478	36772814	8.7	stroke_color=red
rw2	165873362	165953838	8.7	stroke_color=red
rw6	145734869	145886585	8.7	stroke_color=red
rw7	123655807	123664093	8.7	stroke_color=red
rw8	85177056	85214518	8.7	stroke_color=red
rw8	59119843	59121347	8.7	stroke_color=red
rw1	167630237	167708696	8.8	stroke_color=red
rw8	57261226	57266611	8.8	stroke_color=red
rw9	26993136	27005693	8.8	stroke_color=red
rw19	55836086	55881855	8.9	stroke_color=red
rw3	3185514	3185654	8.9	stroke_color=red
rw4	68537184	68568527	8.9	stroke_color=red
rw2	165087520	165204088	9	stroke_color=red
rw6	43845750	43852341	9	stroke_color=red
rw7	55887277	55942225	9	stroke_color=red
rw1	193178730	193186613	9.1	stroke_color=red
rw1	6221193	6235984	9.1	stroke_color=red
rw10	93757809	93798159	9.1	stroke_color=red
rw17	49838309	49848017	9.1	stroke_color=red
rw1	228424845	228425325	9.2	stroke_color=red
rw3	108958239	109118146	9.2	stroke_color=red
rw4	154781252	154828813	9.2	stroke_color=red
rw4	189940819	189963204	9.2	stroke_color=red
rw6	46793357	46845987	9.2	stroke_color=red
rw10	101226212	101230327	9.3	stroke_color=red
rw13	99254713	99262448	9.3	stroke_color=red
rw19	50432903	50466326	9.3	stroke_color=red
rw1	151169986	151176304	9.4	stroke_color=red
rw10	127135426	127196216	9.4	stroke_color=red
rw16	56961923	56983844	9.4	stroke_color=red
rw3	164978893	165078495	9.4	stroke_color=red
rw7	123814139	123819430	9.4	stroke_color=red
rw1	108420689	108433184	9.5	stroke_color=red
rw13	45780270	45851711	9.5	stroke_color=red
rw14	56800707	56810476	9.5	stroke_color=red
rw16	11275636	11276480	9.5	stroke_color=red
rw3	139104185	139125167	9.5	stroke_color=red
rw3	46925520	46926031	9.5	stroke_color=red
rw11	85683844	85686277	9.6	stroke_color=red
