#chr	start	end	value
rw10	100016845	100017328	6.830916878
rw10	1000709	1001150	6.909390936
rw10	100097234	100097555	6.771463028
rw10	100177117	100177548	6.151051691
rw10	100187056	100187230	5.72881869
rw10	100301435	100301796	4.991853096
rw10	100702545	100702960	4.803780748
rw10	101090045	101090460	6.78077077
rw10	101309100	101309304	5.254887502
rw10	101435370	101435685	6.544394119
rw10	101523922	101524222	4.975733431
rw10	101535160	101535476	7.244833837
rw10	101550833	101551126	6.995855027
rw10	101599005	101599564	3.959431619
rw10	101651668	101652518	6.664906927
rw10	101786770	101787117	6.63442632
rw10	101806719	101807066	6.866322214
rw10	101851975	101852788	4.14385619
rw10	101853594	101854301	5.776124405
rw10	102044051	102044404	6.388743249
rw10	102368100	102368515	6.200439718
rw10	102381812	102382019	2.747927513
rw10	102431008	102431333	6.821928095
rw10	102447902	102448218	7.073647187
rw10	102508495	102508787	7.019636253
rw10	102623640	102623943	6.71916852
rw10	102625740	102625980	6.099912842
rw10	102773667	102774092	5.598032083
rw10	102855766	102855997	5.839850003
rw10	102983525	102983853	6.560695932
rw10	102995229	102995763	6.400866808
rw10	103076987	103077277	6.654818109
rw10	103164463	103164725	6.200439718
rw10	103215574	103215793	5.618941073
rw10	103371257	103371502	6.376516947
rw10	103375221	103375580	6.794620749
rw10	103410663	103411055	6.320178962
rw10	103453879	103454348	6.482993575
rw10	103459888	103460075	6.942943496
rw10	103498010	103498363	5.598032083
rw10	103547467	103547819	5.738404739
rw10	103627352	103627649	5.533423002
rw10	1036309	1036597	6.494353437
rw10	1036647	1037004	6.494353437
rw10	103810495	103810674	4.357980995
rw10	103816523	103816955	6.00779464
rw10	103844134	103844527	5.934628228
rw10	103873926	103874284	6.494353437
rw10	103883299	103883515	5.555282436
rw10	104012792	104013022	5.72881869
rw10	104164934	104165253	6.896604781
rw10	104338105	104338525	4.909390936
rw10	104359069	104359446	6.963524373
rw10	104388551	104388756	6.67990909
rw10	104394594	104394845	5.757387843
rw10	104403857	104404134	6.826429487
rw10	104573805	104574149	5.039158811
rw10	104672759	104673008	5.883704292
rw10	104698099	104698261	3.857552005
rw10	104807846	104807998	2.5
rw10	104888046	104888889	4.875039431
rw10	104927424	104927766	6.488684687
rw10	104989936	104990210	4.839850003
rw10	105010627	105011121	6.56608919
rw10	105181400	105181699	4.64974712
rw10	105210168	105210526	6.241466986
rw10	105309680	105309906	6.077428828
rw10	105422174	105422480	3.023561956
rw10	105423641	105424058	7.077428828
rw10	105505487	105505688	6.505624549
rw10	106088173	106088592	6.555282436
rw10	106113714	106113933	6.684875343
rw10	106165641	106165915	6.544394119
rw10	106180587	106180903	6.598032083
rw10	106239386	106239627	4.114709844
rw10	106249651	106249859	6.12935662
rw10	106380118	106380296	4.430737338
rw10	106497502	106497740	5.281359714
rw10	10733556	10733937	2.821928095
rw10	107366180	107366613	6.376516947
rw10	10738242	10738597	5.268184325
rw10	107537088	107537597	4.084962501
rw10	10844149	10844343	5.099912842
rw10	108607712	108608839	3.747927513
rw10	109235179	109235542	4.669925001
rw10	1093141	1093617	5.430737338
rw10	109360613	109360890	2.587462841
rw10	10966058	10966217	4.875039431
rw10	109711511	109711777	6.511227255
rw10	109739865	109740219	5.659871337
rw10	110073004	110074008	4.991853096
rw10	110117414	110117755	6.709453366
rw10	110168298	110168695	4.608524457
rw10	110671874	110672127	6.922064766
rw10	110983940	110984235	3.747927513
rw10	111051697	111051965	4.909390936
rw10	111391470	111391677	4.64974712
rw10	111603219	111603370	3.14385619
rw10	11219988	11220356	6.664906927
rw10	112527609	112527973	5.320178962
rw10	113046449	113046782	6.221099189
rw10	113191578	113191864	3.991853096
rw10	113348350	113348923	4.72881869
rw10	113552242	113552649	4.926264755
rw10	113556664	113557113	2.5
rw10	11370300	11370536	6.799208018
rw10	113823271	113823798	3.254887502
rw10	114132804	114133137	5.172425342
rw10	114305313	114305663	6.821928095
rw10	114390591	114390973	6.107330314
rw10	114626547	114626916	5.709453366
rw10	114770375	114770770	6.67990909
rw10	114910830	114911260	6.555282436
rw10	115327849	115328082	6.364186145
rw10	115437568	115437892	5.172425342
rw10	115580325	115580619	6.465784285
rw10	115827685	115827937	6.14385619
rw10	115846525	115846741	6.023561956
rw10	116087712	116087878	6.241466986
rw10	116146311	116146588	6.062242424
rw10	116223818	116223979	4.477279923
rw10	116393965	116394359	5.830916878
rw10	116639580	116639902	5.332890014
rw10	116841212	116841608	4.14385619
rw10	117167539	117167814	2.959431619
rw10	11774789	11775278	3.892317423
rw10	11809887	11810243	5.785402219
rw10	118207191	118207550	6.092457037
rw10	118383159	118383368	5.307354922
rw10	118428365	118428537	5.084962501
rw10	118464528	118464936	6.221099189
rw10	11851559	11851991	5.069855608
rw10	118535591	118535932	6.326548487
rw10	118538640	118538957	6.812882955
rw10	118722634	118722881	3.14385619
rw10	118839570	118840297	5.699672345
rw10	11885543	11885913	4.56608919
rw10	11896518	11896688	4.357980995
rw10	119313271	119313611	6.983815777
rw10	119596347	119596896	4.629283017
rw10	119597599	119598349	5.099912842
rw10	11970812	11971045	4.054588852
rw10	120168474	120168748	6.039158811
rw10	120246937	120247121	5.942943496
rw10	12040151	12040459	6.23470962
rw10	120475407	120475639	6.511227255
rw10	12049557	12049984	5.96760555
rw10	120498526	120498771	5.430737338
rw10	120509521	120509931	5.598032083
rw10	120532320	120532616	2.892317423
rw10	120568820	120569237	7.111024797
rw10	12063868	12064247	7.224513853
rw10	120857636	120857819	6.733619677
rw10	120942141	120942579	5.64974712
rw10	120994457	120994664	6.629283017
rw10	121025896	121026070	6.193486957
rw10	121232958	121233355	6.995855027
rw10	121252468	121252828	6.888017285
rw10	121271870	121272287	6.544394119
rw10	121283345	121283696	6.812882955
rw10	121344064	121344347	6.576815597
rw10	121397956	121398318	6.23470962
rw10	12157054	12157415	6.913627929
rw10	121611382	121611662	6.023561956
rw10	12171229	12171446	5.14385619
rw10	121842608	121842758	5.268184325
rw10	12186675	12187060	5.857552005
rw10	122154610	122154874	2.821928095
rw10	122484319	122484481	4.254887502
rw10	122680106	122681415	3.959431619
rw10	12269639	12269882	7.081200582
rw10	122791219	122791644	6.023561956
rw10	123193418	123193706	7.050746785
rw10	123331115	123331313	6.571462363
rw10	123363106	123363461	5.951211112
rw10	123489169	123489515	5.794620749
rw10	123668559	123668792	6.505624549
rw10	123799387	123799703	6.14385619
rw10	123832243	123832630	5.054588852
rw10	123901894	123902245	6.704571144
rw10	123945396	123945764	6.488684687
rw10	124559473	124559853	5.926264755
rw10	124577961	124578232	6.345490051
rw10	12470541	12470764	6.821928095
rw10	124712696	124713123	6.172425342
rw10	124858964	124859528	5.942943496
rw10	124944602	124944951	6.394817763
rw10	12502431	12502640	6.669925001
rw10	125223518	125223706	6.938791853
rw10	125240510	125240661	6.582149041
rw10	125311879	125312210	5.430737338
rw10	125462446	125462812	5.983815777
rw10	125502026	125502533	7.125708843
rw10	125515930	125516346	6.857552005
rw10	125557455	125557885	5.892317423
rw10	125618406	125618865	7.186500527
rw10	125654294	125654489	6.488684687
rw10	125682911	125683157	2.669925001
rw10	125705812	125706249	4.023561956
rw10	125760915	125761274	6.934628228
rw10	125805761	125806115	6.771463028
rw10	1258799	1259073	7.039158811
rw10	125955910	125956103	6.689824559
rw10	126123649	126123848	6.214245518
rw10	126150083	126150368	7.168884984
rw10	12616890	12617206	6.812882955
rw10	126211918	126212514	7.792321633
rw10	126226175	126226556	6.394817763
rw10	126262906	126263298	7.32336724
rw10	126281065	126281378	6.376516947
rw10	126298737	126299560	6.771463028
rw10	126394971	126395216	6.817412614
rw10	126469644	126469964	6.069855608
rw10	126470877	126471141	3.669925001
rw10	126474131	126474448	6.987840034
rw10	12653438	12653868	6.241466986
rw10	126552789	126553098	6.771463028
rw10	126685498	126685909	7.161778098
rw10	126750302	126750797	7.436637939
rw10	127240681	127241099	7.161778098
rw10	127511223	127511556	5.883704292
rw10	127635888	127636217	3.357980995
rw10	127730221	127730853	7.919960178
rw10	128015141	128015472	6.771463028
rw10	128026841	128027135	5.069855608
rw10	1281283	1282549	7.118385502
rw10	128208669	128209093	6.27478706
rw10	128243873	128244252	5.406890596
rw10	128300586	128300887	6.165335917
rw10	128398655	128398863	5.875039431
rw10	128435799	128436224	5.983815777
rw10	12877871	12878164	6.848728154
rw10	12885281	12885665	6.254887502
rw10	128891528	128891975	6.951211112
rw10	128917405	128917775	6.608524457
rw10	129008444	129008657	6.857552005
rw10	12914604	12914959	6.357980995
rw10	129513410	129513798	6.64974712
rw10	129530816	129530996	5.866322214
rw10	129680049	129680307	7.339203788
rw10	129833957	129834265	5.96760555
rw10	129890097	129890405	6.743173983
rw10	129928954	129929611	5.294415866
rw10	129935565	129935919	5.96760555
rw10	129951737	129952166	5.883704292
rw10	130040871	130041152	6.436637939
rw10	130066798	130067117	6.794620749
rw10	130117991	130118377	6.107330314
rw10	130123928	130124293	6.339203788
rw10	130197712	130198035	5.975733431
rw10	130225377	130225635	6.64974712
rw10	130261943	130262327	6.516808288
rw10	130339212	130339563	6.394817763
rw10	1303894	1304276	4.56608919
rw10	130466930	130467205	6.3008999
rw10	130791262	130791460	4.709453366
rw10	131217821	131218224	6.207359132
rw10	131365314	131365726	6.5
rw10	131367729	131368089	6.684875343
rw10	131442598	131442873	7.436637939
rw10	131599939	131600205	5.975733431
rw10	13172951	13173310	6.158211483
rw10	131747467	131747890	6.1794801
rw10	1317510	1317736	5.382643049
rw10	132050752	132051062	6.905141463
rw10	132252566	132252905	6.817412614
rw10	132308270	132308587	6.582149041
rw10	132587146	132587418	2.892317423
rw10	132812514	132812840	6.608524457
rw10	132871906	132872304	6.64974712
rw10	132945745	132945933	6.294415866
rw10	132948666	132949151	6.857552005
rw10	132960491	132960811	6.624121312
rw10	13303905	13304065	6.023561956
rw10	133157002	133157200	6.999845887
rw10	13317716	13317914	6.221099189
rw10	133226861	133227099	5.442514505
rw10	133238962	133239342	5.934628228
rw10	13327773	13327981	6.738404739
rw10	133342806	133343043	6.639551352
rw10	133343328	133343749	6.951211112
rw10	133483126	133483421	6.900879436
rw10	133665313	133665541	6.482993575
rw10	133971968	133972428	5.039158811
rw10	133975406	133975861	6.587462841
rw10	133988942	133989329	6.857552005
rw10	134012391	134012640	7.207359132
rw10	134021585	134021861	6.785402219
rw10	134046103	134046334	6.287902559
rw10	134060797	134061200	6.689824559
rw10	134112255	134112500	6.214245518
rw10	134294265	134294607	3.709453366
rw10	134302447	134302742	6.654818109
rw10	134319766	134320074	4.56608919
rw10	134524753	134525171	7.186500527
rw10	134588236	134588575	3.991853096
rw10	134623593	134624038	6.963524373
rw10	134671580	134671990	6.107330314
rw10	134701936	134702319	4.926264755
rw10	134802018	134802576	5.023561956
rw10	134809182	134809588	6.747927513
rw10	134845676	134845985	6.576815597
rw10	134938906	134939122	4.522367813
rw10	134944161	134944489	7.224513853
rw10	134977653	134978038	6.23470962
rw10	135003904	135004112	6.913627929
rw10	135061400	135061802	7.092457037
rw10	135075114	135075677	6.613742166
rw10	13508958	13509150	6.00779464
rw10	135102859	135103090	6.077428828
rw10	135161501	135161716	5.999845887
rw10	135180196	135180552	6.477279923
rw10	135203793	135203986	6.214245518
rw10	135213390	135213806	6.913627929
rw10	135216556	135216858	3.45419631
rw10	135239301	135239699	5.883704292
rw10	135245804	135246603	6.709453366
rw10	135333736	135334351	7.158211483
rw10	135382508	135382775	6.00779464
rw10	135384096	135384494	5.821928095
rw10	135453994	135454423	6.587462841
rw10	135472827	135473539	7.785402219
rw10	135477903	135482315	10.1891244
rw10	135482492	135485636	9.527214885
rw10	135485752	135489064	9.462896005
rw10	135523983	135524491	7.639551352
rw10	13571193	13571395	6.37036472
rw10	14115496	14115762	6.766786541
rw10	14137861	14138172	6.848728154
rw10	1416665	1417106	7.451284715
rw10	1437503	1437719	7.193486957
rw10	14733798	14733957	5.241466986
rw10	14976146	14976495	6.757387843
rw10	1499165	1499573	7.186500527
rw10	15087788	15088285	6.069855608
rw10	15202408	15202619	6.582149041
rw10	15417078	15417408	5.983815777
rw10	15597587	15597929	5.689824559
rw10	15653465	15653722	5.72881869
rw10	15887738	15888144	4.689824559
rw10	1589862	1590152	6.942943496
rw10	15931691	15931987	3.406890596
rw10	15999362	15999602	6.092457037
rw10	1614150	1614481	6.114709844
rw10	16499218	16499552	5.900879436
rw10	1656718	1657010	5.983815777
rw10	16800087	16800513	6.533423002
rw10	1687213	1687628	6.339203788
rw10	16964484	16964875	6.107330314
rw10	17079838	17080119	6.069855608
rw10	17260605	17260895	6.151051691
rw10	17308646	17308914	6.533423002
rw10	17376250	17376468	7.674925683
rw10	17428745	17429129	7.1794801
rw10	17576381	17576652	5.418863237
rw10	17622056	17622385	5.227920455
rw10	17660275	17660437	4.875039431
rw10	17663029	17663408	6.482993575
rw10	17670912	17671497	5.268184325
rw10	18239610	18239891	6.844295908
rw10	18635436	18635865	6.376516947
rw10	18784338	18784627	6.576815597
rw10	18786342	18786654	6.37036472
rw10	19129101	19129443	7.154636029
rw10	19339083	19339322	5.084962501
rw10	19570892	19571039	4.332890014
rw10	19872369	19872772	2.747927513
rw10	20819736	20820118	6.054588852
rw10	20820490	20820776	5.533423002
rw10	20859363	20859811	3.023561956
rw10	21362712	21362995	6.603287808
rw10	21595917	21596181	6.709453366
rw10	21625546	21625924	6.077428828
rw10	2174569	2174849	5.5
rw10	2179168	2179437	5.926264755
rw10	21980931	21981188	5.812882955
rw10	22039401	22039691	7.154636029
rw10	22047380	22047803	6.709453366
rw10	2234228	2234545	6.039158811
rw10	22413286	22413756	3.307354922
rw10	22531651	22532080	6.214245518
rw10	22561041	22561384	6.084962501
rw10	22604830	22605167	4.766786541
rw10	22694036	22694681	4.45419631
rw10	22741812	22742134	6.107330314
rw10	23002240	23002490	6.23470962
rw10	23021341	23021653	5.942943496
rw10	23360623	23361025	5.172425342
rw10	23482224	23482563	5.67990909
rw10	23600453	23600737	5.394817763
rw10	2364201	2364595	6.659871337
rw10	24324746	24325128	7.549848549
rw10	24442873	24443186	4.307354922
rw10	24557396	24557992	3.669925001
rw10	24789018	24789297	5.689824559
rw10	24858280	24858705	6.471543554
rw10	24931177	24931471	4.357980995
rw10	24946408	24947007	4.522367813
rw10	25094236	25094653	5.023561956
rw10	25175859	25176198	2.669925001
rw10	2523373	2523570	6.099912842
rw10	25296359	25296728	5.598032083
rw10	25539188	25539539	4.14385619
rw10	2581802	2581993	6.12935662
rw10	25989118	25989559	6.738404739
rw10	26328013	26328162	3.5
rw10	26338597	26338800	5.629283017
rw10	2643507	2643725	5.848728154
rw10	26803592	26803752	5.320178962
rw10	26853798	26854022	6.629283017
rw10	27134706	27135018	6.72881869
rw10	27402149	27402394	5.200439718
