#rw	start	end	rv	start	end
rw12	53710090	53710455	rv12	53709933	53712346
rw4	171384940	171385254	rv4	171384849	171385318
rw2	219133262	219133733	rv2	219132512	219133884
rw7	48334065	48334392	rv7	48333910	48334522
rw16	16202009	16202333	rv16	16202026	16202879
rw12	40006876	40007206	rv12	40006629	40007280
rw6	31663668	31664097	rv6	31663186	31664302
rw20	62491742	62491982	rv20	62491941	62495798
rw18	47308842	47309251	rv18	47308815	47309314
rw1	226366047	226366274	rv1	226365922	226366453
rw1	180293028	180293286	rv1	180292972	180293365
rw7	96728805	96729032	rv7	96728599	96729089
rw10	114157808	114158176	rv10	114157692	114158742
rw12	7432496	7432772	rv12	7432216	7432974
rw2	147588250	147588634	rv2	147588082	147588724
rw2	54322086	54322311	rv2	54322170	54324154
rw15	58912867	58913088	rv15	58912730	58913458
rw10	128106520	128106767	rv10	128106421	128106826
rw5	157001469	157001727	rv5	157001185	157002198
rw8	24318497	24318892	rv8	24318513	24318993
rw14	78432287	78432627	rv14	78432398	78433436
rw14	78247816	78248085	rv14	78247595	78248190
rw8	145600399	145600572	rv8	145598523	145600873
rw7	45681137	45681565	rv7	45680930	45681801
rw16	4047619	4047812	rv16	4046765	4048153
rw17	15743395	15743690	rv17	15743250	15743827
rw10	113046449	113046782	rv10	113046183	113046972
rw8	37846268	37846759	rv8	37846172	37846927
rw11	67034521	67034716	rv11	67034519	67038745
rw1	244604900	244605273	rv1	244604282	244605493
rw10	116087712	116087878	rv10	116087510	116088394
rw4	88032137	88032468	rv4	88032100	88032714
rw2	100738225	100738529	rv2	100738109	100738647
rw5	132290136	132290534	rv5	132289901	132290792
rw2	236159034	236159295	rv2	236158874	236159346
rw10	46343123	46343355	rv10	46342356	46343362
rw7	15489658	15490006	rv7	15489565	15490203
rw8	141667387	141667711	rv8	141667108	141667737
rw9	87901396	87901720	rv9	87901179	87901840
rw3	148450549	148450876	rv3	148450422	148451056
rwX	115318641	115318906	rvX	115318502	115319048
rw7	17311704	17312095	rv7	17311470	17312284
rw6	143424653	143424962	rv6	143424571	143425063
rw6	106983672	106983956	rv6	106983607	106984099
rw17	19889987	19890240	rv17	19889770	19890395
rw6	88460257	88460728	rv6	88460371	88462023
rw6	88417494	88417772	rv6	88417230	88417962
rw1	109372953	109373507	rv1	109372893	109373545
rw1	109360205	109360514	rv1	109359797	109360695
rw10	5102900	5103288	rv10	5102713	5103478
rw12	112240061	112240264	rv12	112239732	112241038
rw1	19198597	19198962	rv1	19198252	19199794
rw6	135192907	135193292	rv6	135192606	135193449
rw3	125489408	125489717	rv3	125489184	125489978
rw1	63829176	63829603	rv1	63828818	63829962
rw2	202427598	202427993	rv2	202427563	202428423
rw2	202223126	202223371	rv2	202222871	202223675
rw2	131520798	131521028	rv2	131519659	131522038
rw3	134082928	134083318	rv3	134082603	134083646
rw11	10491254	10491598	rv11	10491117	10491933
rw12	110851903	110852276	rv12	110851930	110853916
rw12	110809733	110810182	rv12	110807822	110810720
rw19	8418643	8419083	rv19	8418454	8420003
rw7	91890299	91890680	rv7	91890235	91890769
rw2	241452831	241453127	rv2	241452753	241453630
rw4	73991355	73991502	rv4	73991053	73991610
rw19	4210176	4210428	rv19	4209850	4211251
rw19	4203380	4203741	rv19	4203598	4204483
rw2	197995937	197996212	rv2	197995718	197996551
rw7	118343874	118344152	rv7	118343812	118344209
rw4	81024458	81024795	rv4	81024297	81024870
rw10	47532108	47532429	rv10	47531988	47532546
rw10	47572126	47572424	rv10	47572066	47572562
rw7	100803792	100803988	rv7	100801805	100804235
rw11	6429050	6429309	rv11	6428858	6429553
rw11	42464160	42464392	rv11	42464066	42464473
rw11	116708664	116708951	rv11	116706916	116708953
rw11	77311770	77312106	rv11	77311602	77312271
rw9	33378839	33379029	rv9	33378566	33380915
rw16	25209827	25210084	rv16	25209634	25210433
rw8	143697961	143698415	rv8	143697373	143702852
rw11	47195917	47196386	rv11	47195672	47196545
rw4	86564419	86564775	rv4	86564351	86564834
rw4	86310538	86310796	rv4	86310440	86310972
rw5	142372732	142372941	rv5	142371988	142373240
rw19	47497469	47497874	rv19	47495241	47499538
rw8	145756583	145757398	rv8	145755033	145760108
rw17	12878578	12879004	rv17	12878628	12879340
rw1	17946810	17947184	rv1	17944062	17947834
rw1	17830523	17830919	rv1	17829945	17831831
rw1	17887939	17888118	rv1	17887464	17888472
rw1	156961321	156961841	rv1	156961210	156962408
rw1	16511046	16511338	rv1	16509223	16513350
rw1	155955931	155956236	rv1	155955336	155956713
rw6	156507211	156507490	rv6	156507073	156507634
rw4	57370236	57370641	rv4	57370059	57373004
rw6	109211127	109211369	rv6	109210360	109211536
rw2	232114519	232114773	rv2	232114220	232115522
rw7	98884862	98885200	rv7	98885155	98886009
rw5	78276791	78277070	rv5	78276752	78277113
rw8	131371867	131372226	rv8	131370966	131372371
rw8	131145622	131145952	rv8	131145468	131146127
rw11	2278798	2279191	rv11	2278613	2279547
rw12	108222559	108222840	rv12	108222392	108223120
rw14	104577925	104578189	rv14	104577140	104578226
rw9	133321810	133322220	rv9	133320690	133323193
rw9	119833700	119833944	rv9	119833636	119834346
rw9	119477075	119477353	rv9	119476859	119477462
rw1	1448210	1448637	rv1	1448493	1465600
rw5	81182483	81182805	rv5	81182467	81182954
rw11	108187341	108187631	rv11	108187119	108187863
rw2	86005220	86005512	rv2	86005129	86007353
rw5	160182559	160182850	rv5	160182235	160182864
rw3	182199279	182199528	rv3	182199142	182199686
rw3	182176020	182176261	rv3	182175894	182176491
rw3	182601437	182601755	rv3	182600975	182601866
rwX	138952947	138953273	rvX	138952843	138953771
rw13	25260533	25260876	rv13	25260305	25261207
rw19	42489405	42489792	rv19	42488853	42490517
rw19	42488844	42489199	rv19	42488853	42490517
rw19	42495953	42496304	rv19	42496207	42496957
rw19	42471551	42471968	rv19	42469482	42472161
rw1	169085163	169085323	rv1	169085093	169085565
rw12	110728708	110729049	rv12	110728384	110729542
rw12	110778202	110778619	rv12	110777892	110778942
rw17	3880660	3881094	rv17	3878653	3881930
rw16	84398960	84399235	rv16	84398679	84399295
rw17	46976156	46976458	rv17	46975910	46976991
rw5	81926146	81926413	rv5	81925993	81926780
rw7	138460295	138460723	rv7	138460187	138460912
rw7	149746113	149746339	rv7	149745586	149746823
rw3	142173275	142173550	rv3	142173123	142173738
rw7	105307898	105308131	rv7	105307613	105308304
rw21	11096355	11097216	rv21	11096016	11099615
rw21	11097409	11098482	rv21	11096016	11099615
rw1	32202976	32203359	rv1	32200401	32206478
rw4	102761151	102761375	rv4	102761082	102761700
rw9	135456005	135456299	rv9	135455183	135456809
rw1	91196088	91196514	rv1	91195860	91196616
